trial,eval,score,best_score,params
111,3,254.5360,759.8193,-0.2111;-0.2089;0.4654;1.0000;-0.7945;-0.3259;0.6611;-0.8595;0.7065;-0.0794;0.0378;-0.3779
112,3,764.4260,764.4260,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.6611;-0.8595;0.4691;-0.0794;0.0378;-0.3779
113,3,213.2917,764.4260,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.4372;-0.8595;0.9128;-0.0794;0.0378;-0.3779
114,3,888.0921,888.0921,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.3777;-0.5105;0.4691;-0.0794;0.0378;-0.3779
115,3,323.2143,888.0921,-0.2111;-0.0903;0.0589;1.0000;-0.7945;-0.3259;0.3777;-0.5105;0.4691;-0.0794;0.4201;-0.3779
116,3,780.8511,888.0921,-0.2111;-0.1577;0.4654;1.0000;-0.7945;-0.7070;0.3777;-0.5105;0.4691;-0.0794;0.0378;-0.3779
117,3,862.5832,888.0921,-0.2111;0.3621;0.4654;1.0000;-0.7945;-0.3259;0.3777;-0.5105;0.4691;-0.0794;0.0378;-0.3779
118,3,715.3615,888.0921,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.3777;-0.5105;0.0366;-0.0794;-0.0534;-0.3779
119,3,409.3935,888.0921,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.3777;0.1258;0.4691;-0.0794;0.0378;-0.3779
120,3,885.4168,888.0921,-0.2111;-0.0903;0.4654;1.0000;-0.5714;-0.3259;0.3777;-0.5105;0.2668;-0.0794;0.0378;-0.3779
121,3,832.3516,888.0921,-0.2111;-0.0903;0.4654;1.0000;-1.0000;-0.3259;0.3777;-0.5105;0.4691;-0.0794;0.0378;-0.3779
122,3,849.8309,888.0921,0.2422;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.3777;-0.5105;0.4691;-0.0794;0.0378;-0.3779
123,3,878.4334,888.0921,-0.2111;-0.1865;0.4654;1.0000;-0.7945;-0.3259;0.3777;-0.5105;0.4691;-0.0794;0.0378;-0.2506
124,3,808.9151,888.0921,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.4072;-0.5105;0.4691;-0.0794;0.1184;-0.3779
125,3,861.8345,888.0921,-0.2111;-0.0903;0.4654;1.0000;-0.6235;-0.3259;0.3777;-0.5105;0.4691;-0.0794;0.0378;-0.3779
126,3,320.1573,888.0921,-0.2111;-0.0903;0.4654;1.0000;-0.4536;-0.3259;0.3777;-0.5105;0.4691;-0.0794;0.0378;-0.3779
127,3,921.9566,921.9566,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
128,3,692.8601,921.9566,-0.2111;-0.0903;-0.0854;1.0000;-0.7945;-0.3259;0.3777;-0.5105;0.4691;0.0407;-0.5053;-0.3779
129,3,921.9566,921.9566,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.3777;-0.5105;0.4691;-0.0794;-0.5567;-0.3779
130,3,931.0710,931.0710,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.3259;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
131,3,1055.8443,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
132,3,972.9540,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.4260;0.4691;0.0466;-0.5053;-0.3779
133,3,876.8245,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.8357;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
134,3,988.4978,1055.8443,-0.3846;0.0299;0.4654;1.0000;-0.7794;-0.6904;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
135,3,251.2379,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.3941;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
136,3,831.8888,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.2758;-0.5053;-0.3779
137,3,970.5565,1055.8443,-0.0354;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
138,3,854.7433,1055.8443,0.0007;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
139,3,934.6956,1055.8443,-0.0595;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
140,3,1045.7329,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3881
141,3,885.2606,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0959;-0.5053;-0.3779
142,3,853.2481,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.4512;-0.5105;0.3335;-0.0794;-0.5053;-0.3779
143,3,892.2294,1055.8443,-0.3873;0.0299;0.4654;1.0000;-0.7794;-0.9367;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
144,3,903.5950,1055.8443,-0.2111;0.1073;0.4654;1.0000;-0.7794;-0.3095;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
145,3,883.9501,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.7796;0.4691;-0.0794;-0.5053;-0.3779
146,3,919.1260,1055.8443,-0.2111;0.0299;0.2598;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
147,3,879.2631,1055.8443,-0.2111;0.0299;0.4654;1.0000;-1.0000;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
148,3,1025.1554,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.5015;-0.5105;0.4691;-0.0794;-0.5053;-0.2575
149,3,821.0734,1055.8443,-0.2111;0.0299;0.6756;1.0000;-0.7794;-0.7662;0.3777;-0.6129;0.4691;-0.0794;-0.5053;-0.3779
150,3,908.0131,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7771;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
151,3,919.2174,1055.8443,-0.2111;0.0299;0.4635;1.0000;-1.0000;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
152,3,1027.3655,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4576;-0.0794;-0.5053;-0.3779
153,3,803.6700,1055.8443,-0.2111;0.0299;0.6759;1.0000;-1.0000;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
154,3,778.3518,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.4630;-0.2659;-0.3779
155,3,750.8710,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.6777;0.4691;-0.3504;-0.5053;-0.3779
156,3,978.9885,1055.8443,-0.0656;0.0299;0.4654;1.0000;-0.7794;-0.6758;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
157,3,1039.5248,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5725;-0.3779
158,3,1037.8036,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5241;-0.1642
159,3,865.4440,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3010;-0.5105;0.4691;-0.0794;-0.5053;0.0390
160,3,1055.8443,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
161,3,941.9312,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-1.0000;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
162,3,701.5206,1055.8443,-0.5922;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.0791;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
163,3,860.5965,1055.8443,-0.1842;-0.4807;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
164,3,977.7735,1055.8443,-0.2111;0.2559;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.5540
165,3,822.6677,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.9184;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
166,3,898.5111,1055.8443,-0.2111;0.0368;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
167,3,794.3325,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.3398;-0.0794;-0.5053;-0.5316
168,3,789.5755,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.8542;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
169,3,391.0727,1055.8443,-0.2111;0.0299;0.3976;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.9751;-0.0794;-0.5053;-0.3779
170,3,308.5134,1055.8443,-0.3194;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.8944;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
